;Kontoadministrator;Informasjonskonsulent;Emneadministrator;Førstelinje;Superbrukar;Emneinnsyn
Brukarar - Observatørar;Slått på Brukarar - Observatørar Kontoadministrator;Deaktivert Brukarar - Observatørar Informasjonskonsulent;Slått på Brukarar - Observatørar Emneadministrator;Deaktivert Brukarar - Observatørar Førstelinje;Slått på Brukarar - Observatørar Superbrukar;Deaktivert Brukarar - Observatørar Emneinnsyn
Observatørar - fjern;Slått på Observatørar - fjern;Deaktivert Observatørar - fjern;Slått på Observatørar - fjern;Deaktivert Observatørar - fjern;Slått på Observatørar - fjern;Deaktivert Observatørar - fjern
Observatørar - legg til;Slått på Observatørar - legg til;Deaktivert Observatørar - legg til;Slått på Observatørar - legg til;Deaktivert Observatørar - legg til;Slått på Observatørar - legg til;Deaktivert Observatørar - legg til
Brukarar - Studentar;Slått på Brukarar - Studentar Kontoadministrator;Deaktivert Brukarar - Studentar Informasjonskonsulent;Slått på Brukarar - Studentar Emneadministrator;Deaktivert Brukarar - Studentar Førstelinje;Slått på Brukarar - Studentar Superbrukar;Deaktivert Brukarar - Studentar Emneinnsyn
Studentar - Fjern;Slått på Studentar - Fjern;Deaktivert Studentar - Fjern;Slått på Studentar - Fjern;Deaktivert Studentar - Fjern;Slått på Studentar - Fjern;Deaktivert Studentar - Fjern
Studentar - legg til;Slått på Studentar - legg til;Deaktivert Studentar - legg til;Slått på Studentar - legg til;Deaktivert Studentar - legg til;Slått på Studentar - legg til;Deaktivert Studentar - legg til
Brukarar - Undervisningsassistentar;Slått på Brukarar - Undervisningsassistentar Kontoadministrator;Deaktivert Brukarar - Undervisningsassistentar Informasjonskonsulent;Slått på Brukarar - Undervisningsassistentar Emneadministrator;Deaktivert Brukarar - Undervisningsassistentar Førstelinje;Slått på Brukarar - Undervisningsassistentar Superbrukar;Deaktivert Brukarar - Undervisningsassistentar Emneinnsyn
Undervisningsassistentar - Fjern;Slått på Undervisningsassistentar - Fjern;Deaktivert Undervisningsassistentar - Fjern;Slått på Undervisningsassistentar - Fjern;Deaktivert Undervisningsassistentar - Fjern;Slått på Undervisningsassistentar - Fjern;Deaktivert Undervisningsassistentar - Fjern
Undervisningsassistentar - Legg til;Slått på Undervisningsassistentar - Legg til;Deaktivert Undervisningsassistentar - Legg til;Slått på Undervisningsassistentar - Legg til;Deaktivert Undervisningsassistentar - Legg til;Slått på Undervisningsassistentar - Legg til;Deaktivert Undervisningsassistentar - Legg til
Brukarar - administrer innloggingsdetaljar;Slått på Brukarar - administrer innloggingsdetaljar Kontoadministrator;Deaktivert Brukarar - administrer innloggingsdetaljar Informasjonskonsulent;Deaktivert Brukarar - administrer innloggingsdetaljar Emneadministrator;Deaktivert Brukarar - administrer innloggingsdetaljar Førstelinje;Slått på Brukarar - administrer innloggingsdetaljar Superbrukar;Deaktivert Brukarar - administrer innloggingsdetaljar Emneinnsyn
Brukarar - endre innhald;Slått på Brukarar - endre innhald Kontoadministrator;Deaktivert Brukarar - endre innhald Informasjonskonsulent;Deaktivert Brukarar - endre innhald Emneadministrator;Deaktivert Brukarar - endre innhald Førstelinje;Deaktivert Brukarar - endre innhald Superbrukar;Deaktivert Brukarar - endre innhald Emneinnsyn
Brukarar - generer paringskodar for å koble observatørar til studentar;Slått på Brukarar - generer paringskodar for å koble observatørar til studentar Kontoadministrator;Deaktivert Brukarar - generer paringskodar for å koble observatørar til studentar Informasjonskonsulent;Slått på Brukarar - generer paringskodar for å koble observatørar til studentar Emneadministrator;Deaktivert Brukarar - generer paringskodar for å koble observatørar til studentar Førstelinje;Slått på Brukarar - generer paringskodar for å koble observatørar til studentar Superbrukar;Deaktivert Brukarar - generer paringskodar for å koble observatørar til studentar Emneinnsyn
Brukarar - handtere observatørar;Slått på Brukarar - handtere observatørar Kontoadministrator;Deaktivert Brukarar - handtere observatørar Informasjonskonsulent;Slått på Brukarar - handtere observatørar Emneadministrator;Deaktivert Brukarar - handtere observatørar Førstelinje;Slått på Brukarar - handtere observatørar Superbrukar;Deaktivert Brukarar - handtere observatørar Emneinnsyn
Brukarar - handtere studentar i emne;Slått på Brukarar - handtere studentar i emne Kontoadministrator;Deaktivert Brukarar - handtere studentar i emne Informasjonskonsulent;Slått på Brukarar - handtere studentar i emne Emneadministrator;Deaktivert Brukarar - handtere studentar i emne Førstelinje;Slått på Brukarar - handtere studentar i emne Superbrukar;Deaktivert Brukarar - handtere studentar i emne Emneinnsyn
Brukarar - opptre som;Slått på Brukarar - opptre som Kontoadministrator;Deaktivert Brukarar - opptre som Informasjonskonsulent;Deaktivert Brukarar - opptre som Emneadministrator;Deaktivert Brukarar - opptre som Førstelinje;Slått på Brukarar - opptre som Superbrukar;Deaktivert Brukarar - opptre som Emneinnsyn
Brukarar - tillat administrative handlingar i emne;Slått på Brukarar - tillat administrative handlingar i emne Kontoadministrator;Deaktivert Brukarar - tillat administrative handlingar i emne Informasjonskonsulent;Slått på Brukarar - tillat administrative handlingar i emne Emneadministrator;Deaktivert Brukarar - tillat administrative handlingar i emne Førstelinje;Slått på Brukarar - tillat administrative handlingar i emne Superbrukar;Deaktivert Brukarar - tillat administrative handlingar i emne Emneinnsyn
Brukarar - vis innloggings-ID-ar;Slått på Brukarar - vis innloggings-ID-ar Kontoadministrator;Deaktivert Brukarar - vis innloggings-ID-ar Informasjonskonsulent;Slått på Brukarar - vis innloggings-ID-ar Emneadministrator;Slått på Brukarar - vis innloggings-ID-ar Førstelinje;Slått på Brukarar - vis innloggings-ID-ar Superbrukar;Deaktivert Brukarar - vis innloggings-ID-ar Emneinnsyn
Brukarar - vis liste;Slått på Brukarar - vis liste Kontoadministrator;Deaktivert Brukarar - vis liste Informasjonskonsulent;Slått på Brukarar - vis liste Emneadministrator;Slått på Brukarar - vis liste Førstelinje;Slått på Brukarar - vis liste Superbrukar;Slått på Brukarar - vis liste Emneinnsyn
Brukarar - vis primær e-postadresse;Slått på Brukarar - vis primær e-postadresse Kontoadministrator;Deaktivert Brukarar - vis primær e-postadresse Informasjonskonsulent;Slått på Brukarar - vis primær e-postadresse Emneadministrator;Slått på Brukarar - vis primær e-postadresse Førstelinje;Slått på Brukarar - vis primær e-postadresse Superbrukar;Slått på Brukarar - vis primær e-postadresse Emneinnsyn
DIskusjonar - opprett;Slått på DIskusjonar - opprett Kontoadministrator;Slått på DIskusjonar - opprett Informasjonskonsulent;Slått på DIskusjonar - opprett Emneadministrator;Deaktivert DIskusjonar - opprett Førstelinje;Deaktivert DIskusjonar - opprett Superbrukar;Slått på DIskusjonar - opprett Emneinnsyn
Datateneste - administrer;Slått på Datateneste - administrer Kontoadministrator;Deaktivert Datateneste - administrer Informasjonskonsulent;Deaktivert Datateneste - administrer Emneadministrator;Deaktivert Datateneste - administrer Førstelinje;Deaktivert Datateneste - administrer Superbrukar;Deaktivert Datateneste - administrer Emneinnsyn
Diskusjonar - lag innlegg;Slått på Diskusjonar - lag innlegg Kontoadministrator;Slått på Diskusjonar - lag innlegg Informasjonskonsulent;Slått på Diskusjonar - lag innlegg Emneadministrator;Deaktivert Diskusjonar - lag innlegg Førstelinje;Deaktivert Diskusjonar - lag innlegg Superbrukar;Slått på Diskusjonar - lag innlegg Emneinnsyn
Diskusjonar - moderer;Slått på Diskusjonar - moderer Kontoadministrator;Deaktivert Diskusjonar - moderer Informasjonskonsulent;Slått på Diskusjonar - moderer Emneadministrator;Deaktivert Diskusjonar - moderer Førstelinje;Deaktivert Diskusjonar - moderer Superbrukar;Slått på Diskusjonar - moderer Emneinnsyn
Diskusjonar - vis;Slått på Diskusjonar - vis Kontoadministrator;Slått på Diskusjonar - vis Informasjonskonsulent;Slått på Diskusjonar - vis Emneadministrator;Deaktivert Diskusjonar - vis Førstelinje;Slått på Diskusjonar - vis Superbrukar;Slått på Diskusjonar - vis Emneinnsyn
Ekspertiseskalaer for læringsmål - Legg til/rediger;Slått på Ekspertiseskalaer for læringsmål - Legg til/rediger Kontoadministrator;Deaktivert Ekspertiseskalaer for læringsmål - Legg til/rediger Informasjonskonsulent;Slått på Ekspertiseskalaer for læringsmål - Legg til/rediger Emneadministrator;Deaktivert Ekspertiseskalaer for læringsmål - Legg til/rediger Førstelinje;Slått på Ekspertiseskalaer for læringsmål - Legg til/rediger Superbrukar;Deaktivert Ekspertiseskalaer for læringsmål - Legg til/rediger Emneinnsyn
Emne - endre synlegheit;Slått på Emne - endre synlegheit Kontoadministrator;Deaktivert Emne - endre synlegheit Informasjonskonsulent;Slått på Emne - endre synlegheit Emneadministrator;Deaktivert Emne - endre synlegheit Førstelinje;Slått på Emne - endre synlegheit Superbrukar;Slått på Emne - endre synlegheit Emneinnsyn
Emneinnhald - vis;Slått på Emneinnhald - vis Kontoadministrator;Deaktivert Emneinnhald - vis Informasjonskonsulent;Slått på Emneinnhald - vis Emneadministrator;Slått på Emneinnhald - vis Førstelinje;Slått på Emneinnhald - vis Superbrukar;Slått på Emneinnhald - vis Emneinnsyn
Emnekalender - legg til / endre / slett;Slått på Emnekalender - legg til / endre / slett Kontoadministrator;Deaktivert Emnekalender - legg til / endre / slett Informasjonskonsulent;Slått på Emnekalender - legg til / endre / slett Emneadministrator;Deaktivert Emnekalender - legg til / endre / slett Førstelinje;Slått på Emnekalender - legg til / endre / slett Superbrukar;Slått på Emnekalender - legg til / endre / slett Emneinnsyn
Emner - gjenopprett;Slått på Emner - gjenopprett Kontoadministrator;Deaktivert Emner - gjenopprett Informasjonskonsulent;Deaktivert Emner - gjenopprett Emneadministrator;Deaktivert Emner - gjenopprett Førstelinje;Slått på Emner - gjenopprett Superbrukar;Deaktivert Emner - gjenopprett Emneinnsyn
Emner - vis endringslogg;Slått på Emner - vis endringslogg Kontoadministrator;Deaktivert Emner - vis endringslogg Informasjonskonsulent;Deaktivert Emner - vis endringslogg Emneadministrator;Deaktivert Emner - vis endringslogg Førstelinje;Slått på Emner - vis endringslogg Superbrukar;Deaktivert Emner - vis endringslogg Emneinnsyn
Emner - vis liste;Slått på Emner - vis liste Kontoadministrator;Slått på Emner - vis liste Informasjonskonsulent;Slått på Emner - vis liste Emneadministrator;Slått på Emner - vis liste Førstelinje;Slått på Emner - vis liste Superbrukar;Slått på Emner - vis liste Emneinnsyn
Funksjonsval - tillat/ikkje tillat;Slått på Funksjonsval - tillat/ikkje tillat Kontoadministrator;Deaktivert Funksjonsval - tillat/ikkje tillat Informasjonskonsulent;Deaktivert Funksjonsval - tillat/ikkje tillat Emneadministrator;Deaktivert Funksjonsval - tillat/ikkje tillat Førstelinje;Deaktivert Funksjonsval - tillat/ikkje tillat Superbrukar;Deaktivert Funksjonsval - tillat/ikkje tillat Emneinnsyn
Funksjonsval - vis;Slått på Funksjonsval - vis Kontoadministrator;Deaktivert Funksjonsval - vis Informasjonskonsulent;Deaktivert Funksjonsval - vis Emneadministrator;Deaktivert Funksjonsval - vis Førstelinje;Slått på Funksjonsval - vis Superbrukar;Deaktivert Funksjonsval - vis Emneinnsyn
Globale kunngjeringar - legg til / rediger / slett;Slått på Globale kunngjeringar - legg til / rediger / slett Kontoadministrator;Slått på Globale kunngjeringar - legg til / rediger / slett Informasjonskonsulent;Slått på Globale kunngjeringar - legg til / rediger / slett Emneadministrator;Deaktivert Globale kunngjeringar - legg til / rediger / slett Førstelinje;Slått på Globale kunngjeringar - legg til / rediger / slett Superbrukar;Deaktivert Globale kunngjeringar - legg til / rediger / slett Emneinnsyn
Grupper - vis alle studentgrupper;Slått på Grupper - vis alle studentgrupper Kontoadministrator;Deaktivert Grupper - vis alle studentgrupper Informasjonskonsulent;Slått på Grupper - vis alle studentgrupper Emneadministrator;Slått på Grupper - vis alle studentgrupper Førstelinje;Slått på Grupper - vis alle studentgrupper Superbrukar;Slått på Grupper - vis alle studentgrupper Emneinnsyn
Impact - administrer;Slått på Impact - administrer Kontoadministrator;Deaktivert Impact - administrer Informasjonskonsulent;Deaktivert Impact - administrer Emneadministrator;Deaktivert Impact - administrer Førstelinje;Deaktivert Impact - administrer Superbrukar;Deaktivert Impact - administrer Emneinnsyn
Innlevering - Lever på vegne av student;Slått på Innlevering - Lever på vegne av student Kontoadministrator;Deaktivert Innlevering - Lever på vegne av student Informasjonskonsulent;Deaktivert Innlevering - Lever på vegne av student Emneadministrator;Deaktivert Innlevering - Lever på vegne av student Førstelinje;Deaktivert Innlevering - Lever på vegne av student Superbrukar;Deaktivert Innlevering - Lever på vegne av student Emneinnsyn
Innstillingar på kontonivå - administrer;Slått på og låst Innstillingar på kontonivå - administrer Kontoadministrator;Deaktivert Innstillingar på kontonivå - administrer Informasjonskonsulent;Deaktivert Innstillingar på kontonivå - administrer Emneadministrator;Deaktivert Innstillingar på kontonivå - administrer Førstelinje;Deaktivert Innstillingar på kontonivå - administrer Superbrukar;Deaktivert Innstillingar på kontonivå - administrer Emneinnsyn
Item Banks - share with subaccounts;Slått på Item Banks - share with subaccounts Kontoadministrator;Deaktivert Item Banks - share with subaccounts Informasjonskonsulent;Deaktivert Item Banks - share with subaccounts Emneadministrator;Deaktivert Item Banks - share with subaccounts Førstelinje;Slått på Item Banks - share with subaccounts Superbrukar;Deaktivert Item Banks - share with subaccounts Emneinnsyn
Kunngjeringar - vis;Slått på Kunngjeringar - vis Kontoadministrator;Slått på Kunngjeringar - vis Informasjonskonsulent;Slått på Kunngjeringar - vis Emneadministrator;Slått på Kunngjeringar - vis Førstelinje;Slått på Kunngjeringar - vis Superbrukar;Slått på Kunngjeringar - vis Emneinnsyn
Lagrinskvote - administrer;Slått på Lagrinskvote - administrer Kontoadministrator;Deaktivert Lagrinskvote - administrer Informasjonskonsulent;Deaktivert Lagrinskvote - administrer Emneadministrator;Deaktivert Lagrinskvote - administrer Førstelinje;Deaktivert Lagrinskvote - administrer Superbrukar;Deaktivert Lagrinskvote - administrer Emneinnsyn
Læringsmål - importer;Slått på Læringsmål - importer Kontoadministrator;Deaktivert Læringsmål - importer Informasjonskonsulent;Slått på Læringsmål - importer Emneadministrator;Deaktivert Læringsmål - importer Førstelinje;Slått på Læringsmål - importer Superbrukar;Deaktivert Læringsmål - importer Emneinnsyn
