canvas_course_id,course_id,integration_id,short_name,long_name,canvas_account_id,account_id,canvas_term_id,term_id,status,start_date,end_date,course_format,canvas_blueprint_course_id,blueprint_course_id,created_by_sis
29503,UE_203_MAS170_1_2025_VÅR_1,,MAS170-1 25V,MAS170-1 25V Sirkulærøkonomi,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
30189,UE_203_YFL817_1_2025_VÅR_1,,YFL817-1 25V,YFL817-1 25V Digitalisering og ny teknologi inn i yrkesdidaktikken for HO og EL,439,ST_0203300200,332,2025_VÅR,active,,,,,,true
30232,UE_203_ØBR112_1_2025_VÅR_1,,ØBR112-1 25V,ØBR112-1 25V Skatte- og avgiftsrett 2,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
30251,UE_203_ØKB2121_1_2025_VÅR_1,,ØKB2121-1 25V,ØKB2121-1 25V Internasjonal markedsføring,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
30795,UE_203_FHS8202_1_2025_VÅR_1,,FHS8202-1 25V,FHS8202-1 25V Veiledningspedagogikk med fokus på individ- og gruppenivå,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28461,UA_203_VPL130_1_2025_VÅR_1_1,,Bergen VPL130 (25V),Bergen VPL130 (25V),17658,UE_203_VPL130_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29440,UE_203_MAS102_1_2025_VÅR_1,,MAS102-1 25V,MAS102-1 25V Marin Særkurs,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
28464,UA_203_VPL130_1_2025_VÅR_1_2,,Sogndal VPL130 (2),Sogndal VPL130 (2),17658,UE_203_VPL130_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
30246,UE_203_SÅR1102_1_2025_VÅR_1,,SÅR1102-1 25V,SÅR1102-1 25V Behandling av sår forårsaket av systemiske sykdommer,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
30265,UE_203_TOS201A_1_2025_VÅR_1,,"TOS201 A/S/T 25V Tolking i praksis - norsk/arabisk, norsk/ukrainsk, norsk/russisk","TOS201 A/S/T 25V Tolking i praksis - norsk/arabisk, norsk/ukrainsk, norsk/russisk",440,ST_0203300300,332,2025_VÅR,active,,,,,,true
